id,name,description,category,price,stock,rating,reviews,origin,organic,peeling,peeling_price,sku
1,"Pommes","La pomme est un fruit comestible à pépins d'un goût sucré et acidulé et à la propriété plus ou moins astringente selon les variétés.","Les fruits",19.33,59,4.9,33,"France","Non","Non",0.00,"FR-001"
2,"Bananes","La banane est le fruit ou la baie dérivant de l'inflorescence du bananier. Riche en amidon, elle est très énergétique.","Les fruits",14.09,42,4.5,38,"Costa Rica","Oui","Non",0.00,"FR-002"
3,"Oranges","L'orange est un agrume, fruit des orangers, des arbres de différentes espèces de la famille des Rutacées ou d'hybrides de ceux-ci.","Les fruits",15.97,31,4.9,38,"Espagne","Non","Non",0.00,"FR-003"
4,"Fraises","La fraise est un fruit rouge issu des fraisiers, des plantes de la famille des Rosacées. Très parfumée, sucrée et légèrement acidulée.","Les fruits",25.09,97,4.3,47,"Maroc","Non","Non",0.00,"FR-004"
5,"Citrons","Le citron est un agrume, fruit du citronnier, un arbre de la famille des Rutacées. Il est utilisé principalement pour son jus acide.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-005"
6,"Mangues","La mangue est le fruit du manguier, un arbre fruitier de la famille des Anacardiaceae. Fruit charnu à noyau, riche et sucré.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-006"
7,"Ananas","L'ananas est une plante tropicale de la famille des Bromeliaceae cultivée pour son fruit comestible. Saveur sucrée et acidulée.","Les fruits",25.01,59,4.3,31,"Costa Rica","Non","Non",0.00,"FR-007"
8,"Poires","La poire est le fruit à pépins comestible au goût doux et sucré du poirier commun, arbre de la famille des Rosacées.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-008"
9,"Kiwis","Le kiwi est une baie, fruit de certaines espèces de lianes du genre Actinidia, famille des Actinidiaceae. Saveur douce et légèrement acidulée.","Les fruits",25.01,59,4.3,31,"Nouvelle-Zélande","Non","Non",0.00,"FR-009"
10,"Raisins","Le raisin est le fruit de la vigne. Le raisin de table est consommé à l'état frais, à la différence du raisin de cuve, qui est utilisé pour produire du vin.","Les fruits",25.01,59,4.3,31,"Italie","Non","Non",0.00,"FR-010"
11,"Pêches","La pêche est un fruit à noyau produit par le pêcher. Sa peau est duveteuse, sa chair est juteuse, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-011"
12,"Abricots","L'abricot est un fruit à noyau, de forme arrondie, à la peau veloutée, jaune orangé, plus ou moins lavée de rouge du côté ensoleillé.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-012"
13,"Cerises","La cerise est le fruit comestible du cerisier. C'est une drupe (fruit charnu à noyau), de forme sphérique, de couleur généralement rouge plus ou moins foncé.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-013"
14,"Framboises","La framboise est un fruit rouge issu du framboisier. Fruit multiple formé par la réunion de petites drupes, elle est très parfumée.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-014"
15,"Myrtilles","La myrtille est le fruit de certains arbustes du genre Vaccinium. Petite baie de couleur bleu-noir, elle est réputée pour ses bienfaits sur la santé.","Les fruits",25.01,59,4.3,31,"Canada","Non","Non",0.00,"FR-015"
16,"Pastèques","La pastèque est une plante herbacée de la famille des Cucurbitacées, cultivée pour son fruit à chair sucrée et rafraîchissante, généralement rouge.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-016"
17,"Melons","Le melon est une plante herbacée annuelle originaire d'Afrique intertropicale, appartenant à la famille des Cucurbitacées et largement cultivée comme plante potagère pour son fruit comestible.","Les fruits",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"FR-017"
18,"Grenades","La grenade est le fruit du grenadier, un arbre fruitier de la famille des Lythracées. Fruit sphérique à écorce coriace contenant de nombreuses graines entourées d'une pulpe juteuse.","Les fruits",25.01,59,4.3,31,"Turquie","Non","Non",0.00,"FR-018"
19,"Figues","La figue est une infrutescence du figuier, un arbre de la famille des Moracées. Fruit charnu, sucré et parfumé, riche en fibres.","Les fruits",25.01,59,4.3,31,"Maroc","Non","Non",0.00,"FR-019"
20,"Avocats","L'avocat est le fruit de l'avocatier. Sa chair est beurrée, de couleur vert pâle à jaune, et renferme une grosse graine.","Les fruits",25.01,59,4.3,31,"Mexique","Non","Non",0.00,"FR-020"
21,"Litchis","Le litchi est le fruit du litchi, un arbre tropical de la famille des Sapindacées. Fruit à l'écorce rouge et rugueuse, à la chair translucide, juteuse et parfumée.","Les fruits",25.01,59,4.3,31,"Madagascar","Non","Non",0.00,"FR-021"
22,"Papayes","La papaye est le fruit du papayer, un arbre fruitier originaire d'Amérique centrale. Fruit à la chair orangée, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-022"
23,"Goyaves","La goyave est le fruit du goyavier, un arbre fruitier tropical de la famille des Myrtacées. Fruit à la chair blanche ou rose, sucrée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-023"
24,"Fruits de la passion","Le fruit de la passion, ou maracuja, est le fruit de certaines espèces de passiflores. Fruit à la pulpe juteuse, acidulée et parfumée.","Les fruits",25.01,59,4.3,31,"Brésil","Non","Non",0.00,"FR-024"
25,"Coings","Le coing est le fruit du cognassier, un arbre fruitier de la famille des Rosacées. Fruit à la chair ferme et parfumée, généralement consommé cuit.","Les fruits",25.01,59,4.3,31,"France","Non","Non",0.00,"FR-025"
26,"Pommes de terre","La pomme de terre, ou patate, est un tubercule comestible produit par l'espèce Solanum tuberosum, appartenant à la famille des solanacées.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-026"
27,"Carottes","La carotte est une plante bisannuelle de la famille des Apiacées, cultivée pour sa racine pivotante charnue, comestible, de couleur généralement orangée.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-027"
28,"Tomates","La tomate est une espèce de plante herbacée de la famille des Solanacées, originaire du nord-ouest de l'Amérique du Sud, largement cultivée pour son fruit.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-028"
29,"Oignons","L'oignon est une plante potagère cultivée pour son bulbe comestible. Il est utilisé comme légume ou comme condiment.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-029"
30,"Poivrons","Le poivron est le fruit d'une variété de l'espèce Capsicum annuum. Légume-fruit de la famille des Solanacées, il est consommé comme légume.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-030"
31,"Courgettes","La courgette est une plante potagère, variété de la courge. Son fruit, de forme allongée et de couleur verte ou jaune, est consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-031"
32,"Aubergines","L'aubergine est une plante potagère de la famille des Solanacées, cultivée pour son fruit comestible de couleur violette.","Les légumes",25.01,59,4.3,31,"Espagne","Non","Non",0.00,"LG-032"
33,"Concombres","Le concombre est une plante potagère de la famille des Cucurbitacées, cultivée pour son fruit allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Oui",4.99,"LG-033"
34,"Poireaux","Le poireau est une plante potagère de la famille des Amaryllidacées, cultivée pour son bulbe allongé, consommé comme légume.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-034"
35,"Choux","Le chou est une plante potagère de la famille des Brassicacées, cultivée pour ses feuilles comestibles formant une pomme.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-035"
36,"Brocolis","Le brocoli est une variété de chou de la famille des Brassicacées, cultivée pour ses bouquets de fleurs immatures comestibles.","Les légumes",25.01,59,4.3,31,"France","Non","Non",0.00,"LG-036"
